source_website,search_url,detail_url,title,project_name,developer,posted_on,price,area,configurations,total_units,ownership,approved_by,rera_registered,location,bhk,property_type,transaction_type,possession_status,description,amenities,agent_or_builder,seller_type
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/vbc-oracle-oak-in-kodigehaali-bangalore-pjid-46419/,Vbc Oracle Oak,Vbc Oracle Oak,,,66 Lac,,2 BHK Apartment,,,,Yes,"Kodigehaali, Bangalore",2,Apartment,New Project,Ready to Move,"VBC Oracle Oak is beautifully crafted by the well-known builder VBC Developers. It is a splendid Residential development in Kodigehalli, a posh locali...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/mythreyi-aether-in-nandi-hills-bangalore-pjid-46294/,Mythreyi Aether,Mythreyi Aether,,,48 - 80 Lac,,Residential Plot,,,,,"Nandi Hills, Bangalore",,Plot,New Project,Ready to Move,"Mythreyi Aether is a residential development in Nandi Hills, Bangalore, Karnataka. Mythreyi Aether will provide skillfully designed plots with all necessities.",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/oasis-kns-ozone-in-sarjapur-bangalore-pjid-46351/,Oasis Kns Ozone,Oasis Kns Ozone,,,67.20 Lac,,Residential Plot,,,,Yes,"Sarjapur, Bangalore",,Plot,New Project,Ready to Move,"Ozone KNS Oasis is the new residential Plotted Development project launched in Anekal, Sarjapur, Bangalore.The residential enclave, Ozone KNS Oasis fe...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/oraiyan-shree-sai-city-in-jigani-road-bangalore-pjid-46319/,Oraiyan Shree Sai City,Oraiyan Shree Sai City,,,38.94 - 50 Lac,,Residential Plot,,,,,"Jigani Road, Bangalore",,Plot,New Project,Ready to Move,"Welcome to Oraiyan Shree Sai City, a premier residential plots project crafted. Build your dream home amidst picturesque landscapes and create memorie...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/virtue-srikara-vista-in-devanahalli-bangalore-pjid-46325/,Virtue Srikara Vista,Virtue Srikara Vista,,,59.40 Lac,,Residential Plot,,,,,"Devanahalli, Bangalore",,Plot,New Project,Ready to Move,"Welcome to Virtue Srikara Vista, a premier residential plots project crafted. Build your dream home amidst picturesque landscapes and create memories ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/heritage-rg-in-kengeri-bangalore-pjid-46296/,Heritage Rg,Heritage Rg,,,55.67 Lac,,2 BHK Apartment,,,,,"Kengeri, Bangalore",2,Apartment,New Project,Ready to Move,"Bangalore's residential project, AM Heritage RG is offering property for sale. Check out some Apartment. Available configurations include 2 BHK, 3 BHK...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/dharmika-sansa-in-indira-nagar-bangalore-pjid-46300/,Dharmika Sansa,Dharmika Sansa,,,3.50 Cr.,,3 BHK Apartment,,,,,"Indira Nagar, Bangalore",3,Apartment,New Project,Ready to Move,"This society will have all basic facilities and amenities to suit homebuyer’s needs and requirements. Brought to you by Dharmika Builders, Dharm...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/zed-earth-villas-in-rajankunte-bangalore-pjid-46235/,Zed Earth Villas,Zed Earth Villas,,,3.25 Cr.,,3 BHK Apartment,,,,,"Rajankunte, Bangalore",3,Apartment,New Project,Ready to Move,"These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 3BHK villas av...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/nikhar-aventino-in-doddakannelli-bangalore-pjid-46236/,Nikhar Aventino,Nikhar Aventino,,,95 Lac,,2 BHK Apartment,,,,Yes,"Doddakannelli, Bangalore",2,Apartment,New Project,Ready to Move,Nikhar Aventino is located at Doddakannelli close to IT hubs of Ballandur such as EcoWorld and EcoSpace. The project has about 70% open space with ame...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/jc-heights-in-vidyaranyapura-bangalore-pjid-46239/,Jc Heights,Jc Heights,,,49.50 Lac,,2 BHK Apartment,,,,,"Vidyaranyapura, Bangalore",2,Apartment,New Project,Ready to Move,"Located near Kodigehalli in Bangalore, JC JC Heights is an upcoming residential project from JC Group. The project ready-to-move and offers all lifest...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/adisesh-palm-tree-in-narasapura-bangalore-pjid-46246/,Adisesh Palm Tree,Adisesh Palm Tree,,,16 Lac,,Residential Plot,,,,,"Narasapura, Bangalore",,Plot,New Project,Ready to Move,"Covering a massive land area of 2.91 acres, Adisesh Palm Tree has commenced fairly recently and will be complete and available for possession by March...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/valueport-in-ivc-road-bangalore-pjid-46115/,Valueport,Valueport,,,83.98 - 86.37 Lac,,Residential Plot,,,,,"IVC Road, Bangalore",,Plot,New Project,Ready to Move,"Valueport is located at the most fastest developing hubs, with just 20 min to International Airport, It has been one of the favorable and high apprais...",,,
